2021-08-13 14:58:26 DEBUG PropertyBinder:175 - MetadataSourceProcessor property email with lazy=false
2021-08-13 14:58:26 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [com.revature.ers.util.EmployeeEntity:email]
2021-08-13 14:58:26 DEBUG SimpleValueBinder:411 - building SimpleValue for email
2021-08-13 14:58:26 DEBUG PropertyBinder:266 - Building property email
2021-08-13 14:58:26 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(ers_employee_entity), mappingColumn=employee_name, insertable=true, updatable=true, unique=false}
2021-08-13 14:58:26 DEBUG PropertyBinder:175 - MetadataSourceProcessor property employeeName with lazy=false
2021-08-13 14:58:26 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [com.revature.ers.util.EmployeeEntity:employeeName]
2021-08-13 14:58:26 DEBUG SimpleValueBinder:411 - building SimpleValue for employeeName
2021-08-13 14:58:26 DEBUG PropertyBinder:266 - Building property employeeName
2021-08-13 14:58:26 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(ers_employee_entity), mappingColumn=password, insertable=true, updatable=true, unique=false}
2021-08-13 14:58:26 DEBUG PropertyBinder:175 - MetadataSourceProcessor property password with lazy=false
2021-08-13 14:58:26 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [com.revature.ers.util.EmployeeEntity:password]
2021-08-13 14:58:26 DEBUG SimpleValueBinder:411 - building SimpleValue for password
2021-08-13 14:58:26 DEBUG PropertyBinder:266 - Building property password
2021-08-13 14:58:26 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(ers_employee_entity), mappingColumn=updatedOn, insertable=true, updatable=true, unique=false}
2021-08-13 14:58:26 DEBUG PropertyBinder:175 - MetadataSourceProcessor property updatedOn with lazy=false
2021-08-13 14:58:26 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [com.revature.ers.util.EmployeeEntity:updatedOn]
2021-08-13 14:58:26 DEBUG SimpleValueBinder:411 - building SimpleValue for updatedOn
2021-08-13 14:58:26 DEBUG PropertyBinder:266 - Building property updatedOn
2021-08-13 14:58:26 DEBUG AnnotationBinder:557 - Binding entity from annotated class: com.revature.ers.util.ManagerEntity
2021-08-13 14:58:26 DEBUG Ejb3Column:213 - Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
2021-08-13 14:58:26 DEBUG EntityBinder:430 - Import with entity name ManagerEntity
2021-08-13 14:58:26 DEBUG EntityBinder:873 - Bind entity com.revature.ers.util.ManagerEntity on table ers_manager_entity
2021-08-13 14:58:26 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(ers_manager_entity), mappingColumn=manager_id, insertable=true, updatable=true, unique=false}
